seed,gss_vs_orgPrb,gss_vs_orgPrb_rtol,gss_vs_ana,gss_vs_ana_rtol,gss_vs_ana_rtol2,ana_vs_orgPrb,"diffNorms(GSS,OrgPrb)",sum(GSS.-OrgPrb),sum(GSS.-Ana),rmsq(GSS.-OrgPrb),rmsq(GSS.-Ana),norm(GSS-OrgPrb),norm(GSS-Ana),norm(Ana-OrigProb)
3350,true,true,true,true,true,true,4.504840944719035e-12,3.2169957767005757e-8,7.111476203785138e-9,1.1842745130770898e-11,2.7855818899719317e-12,7.579356883693374e-10,1.7827724095820366e-10,2.7992364090071932e-11
18,true,true,true,true,true,true,5.296385552355787e-11,1.6244644589062142e-7,2.0394568344952503e-5,9.192845222802159e-11,9.42132184190305e-9,5.883420942593378e-9,6.029645978817945e-7,3.0533766072611562e-9
19,true,true,true,true,true,true,2.2168933355715126e-12,8.8664421362631e-9,6.527580527185446e-7,3.452134621551506e-12,2.587619702642307e-10,2.2093661577929635e-10,1.6560766096910763e-8,2.5578656594349436e-10
2520,false,false,false,true,true,true,1.5764759098146897e-7,0.00022037680146919908,0.00014641576002253907,8.265386995559573e-8,5.968213693436896e-8,5.289847677158127e-6,3.819656763799615e-6,2.8109177332209887e-11
3351,true,true,true,true,true,true,1.1795009413617663e-12,2.8900474340065596e-9,5.291789234071476e-6,1.8048234002300797e-12,2.7840407107201404e-9,1.1550869761472512e-10,1.7817860548608896e-7,9.09661819753807e-10
4184,true,true,true,true,true,true,6.423306331271306e-12,1.821835705244964e-8,2.2439048856254945e-7,1.0111462808860394e-11,1.1050312340910447e-10,6.471336197670652e-10,7.0721998981826854e-9,1.0640911898786953e-10
853,true,true,true,true,true,true,-1.3500311979441904e-12,1.0757769511793803e-8,8.008756941261727e-8,4.3694242460811565e-12,2.8250061360843783e-11,2.79643151749194e-10,1.8080039270940021e-9,1.3003347750748627e-10
1686,false,true,true,true,true,true,-2.1290702534315642e-8,6.838588929556095e-5,4.231659400792155e-5,4.7712176725027665e-8,2.7779435224342188e-8,3.0535793104017706e-6,1.777883854357899e-6,2.8049419098936933e-9
854,true,true,true,true,true,true,-5.5209170568559784e-12,8.680216243510787e-9,1.3983116864369708e-7,8.255544749732923e-12,1.3494693504529212e-10,5.28354863982907e-10,8.636603842898696e-9,6.118893415434964e-11
20,true,true,true,true,true,true,-1.4412648852157872e-10,1.7412798136541628e-7,2.267104622452219e-8,1.0250221018713708e-10,1.1694122309573487e-11,6.5601414519767666e-9,7.484238278127029e-10,6.362828799208295e-13
4185,true,true,true,true,true,true,4.1960390717576956e-10,1.2470203894254556e-6,3.7268188091382336e-6,8.221983078753037e-10,2.5209168026718143e-9,5.262069170401933e-8,1.6133867537099566e-7,1.5002794918842254e-11
3352,true,true,true,true,true,true,2.6687985155149363e-11,1.7270163915118785e-6,8.050137731236903e-7,1.3218219559955344e-9,7.064272151182156e-10,8.459660518371416e-8,4.521134176756576e-8,4.560782370784763e-11
2521,true,true,true,true,true,true,9.961809155356605e-12,9.57013291258879e-7,4.181424705739306e-6,5.493535096526458e-10,2.2383922382084796e-9,3.515862461776926e-8,1.4325710324534262e-7,4.916613073493632e-10
855,true,true,true,true,true,true,-1.4210854715202004e-14,4.376932699861057e-11,5.972818734826385e-11,1.5635716235086133e-14,2.0235008891628734e-14,1.0006858390455125e-12,1.295040569064239e-12,3.1473610342922405e-13
3353,true,true,true,true,true,true,1.7053025658242404e-13,3.0102805977907845e-10,1.361407793766409e-9,1.1119750714001806e-13,8.613352357278872e-13,7.116640456961156e-12,5.512545508658478e-11,1.1389481492636038e-11
1687,true,true,true,true,true,true,9.947598300641403e-14,1.5631197036606106e-10,3.0790902301941004e-11,5.968146569914999e-14,1.2750266226905965e-14,3.819613804745599e-12,8.160170385219817e-13,6.183635536169229e-13
21,true,true,true,true,true,true,-4.618527782440651e-12,3.4632374090111146e-8,2.5837482744680076e-8,1.4226175383734264e-11,1.3572239836114804e-11,9.104752245589929e-10,8.686233495113474e-10,2.039394381056653e-11
2522,true,true,true,true,true,true,3.907985046680551e-13,5.965710378225565e-10,3.999747828298608e-9,2.2360922411473345e-13,1.4594403128950188e-12,1.4310990343342941e-11,9.34041800252812e-11,1.7263262586189586e-11
4186,false,false,true,true,true,true,-2.003924493010345e-8,0.0002884888764268501,0.0001383556487118549,1.696487892103702e-7,8.433792167229627e-8,1.0857522509463693e-5,5.39762698702696e-6,5.472179574635948e-10
22,true,true,true,true,true,true,7.105427357601002e-14,8.307302111834614e-12,1.0810195039538434e-11,2.7036140865314325e-15,3.758454653006085e-15,1.7303130153801168e-13,2.405410977923894e-13,5.622006355421526e-13
4187,true,true,true,true,true,true,2.0961010704922955e-12,8.471439220307606e-9,2.65003543447051e-5,2.86350209252796e-12,9.743004105185911e-9,1.8326413392178944e-10,6.235522627318982e-7,1.1471178592659856e-9
3354,true,true,true,true,true,true,3.1772344755154336e-9,7.239415071541339e-6,7.484960216664737e-6,4.846728620810245e-9,4.626717633550635e-9,3.101906317318559e-7,2.961099285472403e-7,6.112552469341631e-10
1688,true,true,true,true,true,true,1.4210854715202004e-14,4.19637458733569e-11,2.8322106975214173e-10,1.4132443519041792e-14,1.0968428655302949e-13,9.044763852186747e-13,7.019794339393887e-12,7.815891622611651e-12
4188,true,true,true,true,true,true,-4.019611310468463e-10,5.336734988002851e-7,3.054299111261531e-7,2.8105454837656766e-10,1.46361043560339e-10,1.798749109610031e-8,9.367106787861697e-9,7.608320887754017e-11
856,true,true,true,true,true,true,-2.6290081223123707e-13,1.4076783922539748e-10,4.840527443933026e-10,5.381663415129386e-14,1.8082390321303944e-13,3.444264585682807e-12,1.1572729805634524e-11,6.636600725606833e-12
1689,true,true,true,true,true,true,-9.056563499143522e-9,1.2056674269064161e-5,8.085024747851678e-6,6.168089559003535e-9,4.121434158145513e-9,3.947577317762265e-7,2.637717861213125e-7,2.8467478718493728e-11
2523,true,true,true,true,true,true,-4.050093593832571e-13,3.87623307519932e-9,1.107422982847805e-9,1.4658230836480243e-12,4.5246506160590093e-13,9.381267735347356e-11,2.895776394277766e-11,4.004967966997844e-13
23,true,true,true,true,true,true,5.184844553696166e-9,1.8622542738358588e-5,1.6023058706063115e-5,1.3369486411445208e-8,1.0874098209523187e-8,8.556471303324938e-7,6.959422854094829e-7,2.6678346654854783e-10
3355,true,true,true,true,true,true,7.815970093361102e-14,3.657890743232438e-10,2.3070770515352945e-9,1.3723775147285737e-13,7.977436807763768e-13,8.783216094262872e-12,5.1055595569688115e-11,1.3070626292255938e-11
24,true,true,true,true,true,true,3.552713678800501e-14,5.798826000001471e-11,5.22147177925425e-10,2.4384729064539775e-14,1.992577043974395e-13,1.5606226601305456e-12,1.2752493081436128e-11,1.0327077177823211e-11
2524,true,true,true,true,true,true,-1.34718902700115e-11,8.382333619295738e-8,4.501994897777623e-8,6.529421485196646e-11,3.521598166477924e-11,4.178829750525852e-9,2.2538228265458707e-9,3.026814076801112e-11
857,true,true,true,true,true,true,3.410605131648481e-12,1.9272009664115727e-8,2.50579539881092e-6,7.847434502448102e-12,1.1564770989694777e-9,5.022358081566784e-10,7.401453433404656e-8,1.2862155288441438e-9
1690,true,true,true,true,true,true,1.6342482922482304e-13,3.037011451784838e-10,3.0266723617677644e-10,1.8759264892426255e-13,1.537363729261067e-13,1.2005929531152803e-11,9.839127867270829e-12,9.798080252583167e-12
4189,true,true,true,true,true,true,1.4637180356658064e-12,5.7066442397295594e-9,7.2036302404925034e-9,2.3280918063685506e-12,2.515786500330042e-12,1.4899787560758724e-10,1.6101033602112266e-10,3.5717797682827135e-11
3356,true,true,true,true,true,true,-4.789058039023075e-12,2.2998027635545096e-8,6.803318153151064e-8,1.6123543509423185e-11,3.5896245702858337e-11,1.0319067846030839e-9,2.2973597249829335e-9,7.852128362886146e-11
25,true,true,true,true,true,true,1.2079226507921703e-13,9.559820885211498e-10,6.771168854064445e-8,3.360157648137114e-13,2.3238458929213904e-11,2.150500894807753e-11,1.4872613714696898e-9,2.4140474264196533e-10
858,true,true,true,true,true,true,-3.092992528763716e-11,2.0599589894298607e-8,6.043643076427243e-8,3.4078830920081154e-11,9.20914111071194e-11,2.1810451788851935e-9,5.893850310855638e-9,2.545637545952962e-11
1691,true,true,true,true,true,true,2.5494273359072395e-11,5.669401084617886e-7,4.575357448701649e-7,3.5384788025579484e-10,2.6252692609607736e-10,2.2646264336370843e-8,1.6801723270148944e-8,9.748706417213856e-12
2525,true,true,true,true,true,true,1.539035565656377e-11,6.98163850066367e-8,2.2508130407571754e-5,9.900778642112784e-11,2.778342276278283e-8,6.336498330952182e-9,1.7781390568181012e-6,3.3090557898865024e-9
